,songs
0,The Sound of Silence - Electric Version
1,Mere Rashke Qamar - Complete Original Version
2,The Adventures of Rain Dance Maggie
3,Charkha (feat. Pt. Vishwa Mohan Bhatt)
4,Paradisum - Original Mix
5,I've got that tune
6,Road Movie
7,Les deux guitares
8,Gates of Albion - Paul Rigel Remix
9,Lady With The Spinning Head - Extended Dance Mix
10,Years
11,432hz Sunset Breeze
12,Dharawi Nights
13,Clocks
14,بنی آدم
15,Èkó
16,Everyday Life
17,Einsamer Hirte
18,Bohemian Rhapsody
19,Soundtrack Of Minus
20,Ahir Bhairav
21,Ocean
22,Society
23,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro"
24,Hard Sun
25,Magic
26,"Toccata and Fugue in D Minor, BWV 565"
27,"The Barber of Seville, Act I: Overture"
28,Raining Blood
29,We Are Young (feat. Janelle Monáe)
30,Goa Groove
31,"Swan Lake, Op. 20, Act II No. 10: Scène. Moderato"
32,Rise
33,Horizonte - Andy Blueman Remix
34,The Sound of Silence - Acoustic Version
35,Hallowed Be Thy Name - 2015 Remaster
36,Do the Evolution
37,The Feast and The Famine
38,Zuul
39,The Next Chapter
40,Perfect
41,Going to California - Remaster
42,Face Of Melinda (Remastered)
43,Empty Words
44,The Number of the Beast - 2015 Remaster
45,Senorita
46,Saibo
47,Dil Kyun Yeh Mera
48,Everyday
49,The Ultra-Violence
50,Yellow Ledbetter
51,All My Love - 1990 Remaster
52,Dust in the Wind
53,Knockin' On Heaven's Door
54,The Unforgiven
55,Demented Aggression
56,Voice of the Soul
57,Crystal Mountain
58,Another Time - Album Edit
59,Tune Jo Na Kaha
60,The Theme - Radion6 Remix
61,Keith
62,Shona
63,The Rain Song - Remaster
64,Zinda
65,"Fantasie-impromptu in C-Sharp Minor, Op. 66 No. 4"
66,"Boléro, M. 81"
67,"The Second Waltz, Op. 99a"
68,Left to Die
69,Pull the Plug
70,Green Arrow
71,Starlight
72,Pride (In The Name Of Love) - Remastered 2009
73,Roadhouse Blues
74,Thunderstruck
75,Immigrant Song - Remaster
76,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)"
77,Mustafa Ya Mustafa
78,Khamoshiyan
79,Samba Vexillographica
80,A Sight to Behold
81,Jazz Suite No. 2: VI. Waltz 2
82,Moonlight Sonata (2nd Movement)
83,Moonlight Sonata (3rd Movement)
84,Moonlight Sonata (1st Movement)
85,Tere Bina
86,Uprising
87,Gnossienne No.1: Lent
88,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto"""
89,"Hawayein (From ""Jab Harry Met Sejal"")"
90,Guaranteed - Humming Version
91,Black Water
92,Vital Transformation (with John McLaughlin) - Remastered
93,Sea Horse
94,Sthlm Sunset
95,No Rain
96,Paradise
97,It All Feels Right
98,Another One Bites The Dust - Remastered 2011
99,In My Life - Remastered 2009
